,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
-7.78744E-03,-4.96000E+00,3.04000E+00,3.04000E+00,0.00000E+00
-7.78544E-03,-5.04000E+00,3.04000E+00,3.04000E+00,8.00000E-02
-7.78344E-03,-4.96000E+00,3.04000E+00,3.12000E+00,0.00000E+00
-7.78144E-03,-4.96000E+00,2.96000E+00,3.12000E+00,0.00000E+00
-7.77944E-03,-4.96000E+00,2.88000E+00,3.12000E+00,0.00000E+00
-7.77744E-03,-4.96000E+00,2.88000E+00,3.20000E+00,0.00000E+00
-7.77544E-03,-4.96000E+00,2.80000E+00,3.20000E+00,0.00000E+00
-7.77344E-03,-4.96000E+00,2.80000E+00,3.28000E+00,0.00000E+00
-7.77144E-03,-4.96000E+00,2.80000E+00,3.36000E+00,0.00000E+00
-7.76944E-03,-4.96000E+00,2.80000E+00,3.36000E+00,0.00000E+00
-7.76744E-03,-5.04000E+00,2.72000E+00,3.36000E+00,0.00000E+00
-7.76544E-03,-4.96000E+00,2.64000E+00,3.36000E+00,0.00000E+00
-7.76344E-03,-4.96000E+00,2.56000E+00,3.44000E+00,0.00000E+00
-7.76144E-03,-4.96000E+00,2.56000E+00,3.44000E+00,0.00000E+00
-7.75944E-03,-4.96000E+00,2.56000E+00,3.52000E+00,0.00000E+00
-7.75744E-03,-5.04000E+00,2.56000E+00,3.52000E+00,0.00000E+00
-7.75544E-03,-5.04000E+00,2.48000E+00,3.60000E+00,0.00000E+00
-7.75344E-03,-5.04000E+00,2.48000E+00,3.60000E+00,0.00000E+00
-7.75144E-03,-5.04000E+00,2.40000E+00,3.68000E+00,0.00000E+00
-7.74944E-03,-5.04000E+00,2.40000E+00,3.68000E+00,0.00000E+00
-7.74744E-03,-5.04000E+00,2.40000E+00,3.68000E+00,0.00000E+00
-7.74544E-03,-5.04000E+00,2.32000E+00,3.68000E+00,0.00000E+00
-7.74344E-03,-5.12000E+00,2.24000E+00,3.76000E+00,0.00000E+00
-7.74144E-03,-5.04000E+00,2.24000E+00,3.76000E+00,0.00000E+00
-7.73944E-03,-5.12000E+00,2.24000E+00,3.84000E+00,0.00000E+00
-7.73744E-03,-5.04000E+00,2.16000E+00,3.84000E+00,0.00000E+00
-7.73544E-03,-5.12000E+00,2.16000E+00,3.92000E+00,0.00000E+00
-7.73344E-03,-5.12000E+00,2.16000E+00,3.92000E+00,0.00000E+00
-7.73144E-03,-5.12000E+00,2.08000E+00,3.92000E+00,0.00000E+00
-7.72944E-03,-5.12000E+00,2.00000E+00,3.92000E+00,-8.00000E-02
-7.72744E-03,-5.12000E+00,2.00000E+00,4.00000E+00,0.00000E+00
-7.72544E-03,-5.12000E+00,2.00000E+00,4.00000E+00,8.00000E-02
-7.72344E-03,-5.12000E+00,1.92000E+00,4.08000E+00,0.00000E+00
-7.72144E-03,-5.20000E+00,1.92000E+00,4.08000E+00,0.00000E+00
-7.71944E-03,-5.20000E+00,1.92000E+00,4.16000E+00,0.00000E+00
-7.71744E-03,-5.12000E+00,1.92000E+00,4.24000E+00,0.00000E+00
-7.71544E-03,-5.20000E+00,1.84000E+00,4.16000E+00,0.00000E+00
-7.71344E-03,-5.20000E+00,1.76000E+00,4.24000E+00,0.00000E+00
-7.71144E-03,-5.20000E+00,1.76000E+00,4.24000E+00,0.00000E+00
-7.70944E-03,-5.20000E+00,1.68000E+00,4.24000E+00,8.00000E-02
-7.70744E-03,-5.20000E+00,1.68000E+00,4.24000E+00,0.00000E+00
-7.70544E-03,-5.20000E+00,1.68000E+00,4.24000E+00,0.00000E+00
-7.70344E-03,-5.20000E+00,1.68000E+00,4.32000E+00,0.00000E+00
-7.70144E-03,-5.20000E+00,1.68000E+00,4.32000E+00,0.00000E+00
-7.69944E-03,-5.20000E+00,1.60000E+00,4.32000E+00,8.00000E-02
-7.69744E-03,-5.20000E+00,1.60000E+00,4.40000E+00,0.00000E+00
-7.69544E-03,-5.20000E+00,1.52000E+00,4.40000E+00,0.00000E+00
-7.69344E-03,-5.20000E+00,1.52000E+00,4.48000E+00,0.00000E+00
-7.69144E-03,-5.28000E+00,1.44000E+00,4.48000E+00,0.00000E+00
-7.68944E-03,-5.20000E+00,1.44000E+00,4.48000E+00,0.00000E+00
-7.68744E-03,-5.28000E+00,1.44000E+00,4.48000E+00,0.00000E+00
-7.68544E-03,-5.28000E+00,1.36000E+00,4.56000E+00,0.00000E+00
-7.68344E-03,-5.28000E+00,1.36000E+00,4.56000E+00,0.00000E+00
-7.68144E-03,-5.28000E+00,1.36000E+00,4.56000E+00,-8.00000E-02
-7.67944E-03,-5.28000E+00,1.36000E+00,4.56000E+00,0.00000E+00
-7.67744E-03,-5.36000E+00,1.36000E+00,4.56000E+00,8.00000E-02
-7.67544E-03,-5.36000E+00,1.28000E+00,4.56000E+00,0.00000E+00
